Series ID,Year,Period,Label,Value
LNU04000000,1958,M08,1958 August,6.7
LNU04000000,1958,M09,1958 September,6
LNU04000000,1958,M10,1958 October,5.5
LNU04000000,1958,M11,1958 November,5.6
LNU04000000,1958,M12,1958 December,6
LNU04000000,1959,M01,1959 January,7
LNU04000000,1959,M02,1959 February,7
LNU04000000,1959,M03,1959 March,6.4
LNU04000000,1959,M04,1959 April,5.2
LNU04000000,1959,M05,1959 May,4.9
LNU04000000,1959,M06,1959 June,5.4
LNU04000000,1959,M07,1959 July,5.2
LNU04000000,1959,M08,1959 August,4.8
LNU04000000,1959,M09,1959 September,4.7
LNU04000000,1959,M10,1959 October,4.7
LNU04000000,1959,M11,1959 November,5.3
LNU04000000,1959,M12,1959 December,5.1
LNU04000000,1960,M01,1960 January,6.1
LNU04000000,1960,M02,1960 February,5.7
LNU04000000,1960,M03,1960 March,6.1
LNU04000000,1960,M04,1960 April,5.2
LNU04000000,1960,M05,1960 May,4.8
LNU04000000,1960,M06,1960 June,5.8
LNU04000000,1960,M07,1960 July,5.5
LNU04000000,1960,M08,1960 August,5.2
LNU04000000,1960,M09,1960 September,4.7
LNU04000000,1960,M10,1960 October,5
LNU04000000,1960,M11,1960 November,5.6
LNU04000000,1960,M12,1960 December,6.4
LNU04000000,1961,M01,1961 January,7.7
LNU04000000,1961,M02,1961 February,8.1
LNU04000000,1961,M03,1961 March,7.7
LNU04000000,1961,M04,1961 April,7
LNU04000000,1961,M05,1961 May,6.6
LNU04000000,1961,M06,1961 June,7.3
LNU04000000,1961,M07,1961 July,6.9
LNU04000000,1961,M08,1961 August,6.2
LNU04000000,1961,M09,1961 September,5.8
LNU04000000,1961,M10,1961 October,5.5
LNU04000000,1961,M11,1961 November,5.6
LNU04000000,1961,M12,1961 December,5.8
LNU04000000,1962,M01,1962 January,6.7
LNU04000000,1962,M02,1962 February,6.5
LNU04000000,1962,M03,1962 March,6.2
LNU04000000,1962,M04,1962 April,5.5
LNU04000000,1962,M05,1962 May,5.1
LNU04000000,1962,M06,1962 June,5.9
LNU04000000,1962,M07,1962 July,5.3
LNU04000000,1962,M08,1962 August,5.3
LNU04000000,1962,M09,1962 September,4.9
LNU04000000,1962,M10,1962 October,4.5
LNU04000000,1962,M11,1962 November,5.3
LNU04000000,1962,M12,1962 December,5.3
LNU04000000,1963,M01,1963 January,6.6
LNU04000000,1963,M02,1963 February,6.9
LNU04000000,1963,M03,1963 March,6.3
LNU04000000,1963,M04,1963 April,5.6
LNU04000000,1963,M05,1963 May,5.5
LNU04000000,1963,M06,1963 June,6.2
LNU04000000,1963,M07,1963 July,5.6
LNU04000000,1963,M08,1963 August,5.2
LNU04000000,1963,M09,1963 September,4.8
LNU04000000,1963,M10,1963 October,4.7
LNU04000000,1963,M11,1963 November,5.3
LNU04000000,1963,M12,1963 December,5.3
LNU04000000,1964,M01,1964 January,6.4
LNU04000000,1964,M02,1964 February,6.2
LNU04000000,1964,M03,1964 March,5.9
LNU04000000,1964,M04,1964 April,5.3
LNU04000000,1964,M05,1964 May,4.8
LNU04000000,1964,M06,1964 June,5.9
LNU04000000,1964,M07,1964 July,4.9
LNU04000000,1964,M08,1964 August,4.8
LNU04000000,1964,M09,1964 September,4.5
LNU04000000,1964,M10,1964 October,4.4
LNU04000000,1964,M11,1964 November,4.5
LNU04000000,1964,M12,1964 December,4.7
LNU04000000,1965,M01,1965 January,5.5
LNU04000000,1965,M02,1965 February,5.7
LNU04000000,1965,M03,1965 March,5.1
LNU04000000,1965,M04,1965 April,4.7
LNU04000000,1965,M05,1965 May,4.3
LNU04000000,1965,M06,1965 June,5.3
LNU04000000,1965,M07,1965 July,4.5
